"","precinct","turnout_2020","turnout_2022"
"1",1,1499,1138
"2",2,2732,1889
"3",3,1469,691
"4",4,1652,916
"5",5,1119,596
"6",6,1573,725
"7",7,1646,1106
"8",8,2025,1577
"9",9,3989,2554
"10",10,2367,1782
"11",11,7249,4146
"12",12,1752,1064
"13",13,3166,1821
"14",14,2826,1979
"15",15,3733,2603
"16",16,2269,1297
"17",17,1384,621
"18",18,1589,1276
"19",19,1563,1259
"20",20,2148,1675
"21",21,1933,1501
"22",22,7153,3794
"23",23,1689,1032
"24",24,2075,1074
"25",25,1679,781
"26",26,2610,1423
"27",27,1756,806
"28",28,1702,1034
"29",29,1621,1057
"30",30,3139,2218
"31",31,1695,808
"32",32,1896,1515
"33",33,1586,934
"34",34,2232,1344
"35",35,1620,1278
"36",36,2251,1790
"37",37,1963,1365
"38",38,1667,1029
"39",39,1844,777
"40",40,1815,773
"41",41,1748,783
"42",42,1834,971
"43",43,2212,1051
"44",44,1504,1153
"45",45,1589,904
"46",46,2171,1319
"47",47,2578,1879
"48",48,1872,1434
"49",49,2369,1746
"50",50,1567,1090
"51",51,2341,1689
"52",52,1897,1152
"53",53,2228,1052
"54",54,2308,1276
"55",55,1163,600
"56",56,1140,555
"57",57,1997,1619
"58",58,2001,1288
"59",59,1096,800
"60",60,1441,859
"61",61,1983,1216
"62",62,1530,658
"63",63,1645,813
"64",64,993,654
"65",65,1302,983
"66",66,1431,1134
"67",67,1378,1060
"68",68,1501,837
"69",69,3828,2962
"70",70,2082,1670
"71",71,1830,1439
"72",72,1408,1077
"73",73,1527,1091
"74",74,2715,1974
"75",75,3087,2286
"76",76,2636,1960
"77",77,1786,956
"78",78,1926,1146
"79",79,1720,917
"80",80,2601,1394
"81",81,3261,1647
"82",82,2243,979
"83",83,2622,1368
"84",84,1632,778
"85",85,2140,1460
"86",86,1947,1561
"87",87,2328,1398
"88",88,2253,1382
"89",89,4895,2738
"90",90,1434,1020
"91",91,4223,3181
"92",92,2694,2013
"93",93,1629,1284
"94",94,1608,852
"95",95,1426,711
"96",96,1871,1340
"97",97,1144,554
"98",98,1670,786
"99",99,1517,540
"100",100,2580,1838
"101",101,2151,1451
"102",102,3650,1861
"103",103,2989,2290
"104",104,2185,1175
"105",105,3204,1327
"106",106,1559,1222
"107",107,2943,1638
"108",108,1620,702
"109",109,2446,1792
"110",110,1290,963
"111",111,2624,1888
"112",112,2000,1523
"113",113,3115,2323
"114",114,2632,1950
"115",115,1331,703
"116",116,1220,606
"117",117,1628,881
"118",118,2475,1759
"119",119,1392,993
"120",120,1588,615
"121",121,3652,2743
"122",122,4410,2552
"123",123,1937,1087
"124",124,1910,967
"125",125,1060,591
"126",126,2679,1422
"127",127,4616,3763
"128",128,2510,1677
"129",129,1005,518
"130",130,1411,718
"131",131,1646,1284
"132",132,1592,974
"133",133,4426,3063
"134",134,6035,3776
"135",135,5787,2912
"136",136,2281,1843
"137",137,5490,3788
"138",138,2666,1270
"139",139,3145,2082
"140",140,4788,3032
"141",141,1974,801
"142",142,5767,3946
"143",143,5005,3480
"144",144,3150,2244
"145",145,8472,5552
"146",146,3297,1655
"147",147,2764,1384
"148",148,9249,5766
"149",149,4527,2498
"150",150,2954,1754
"151",151,4302,2658
"152",200,2009,1506
"153",201,6158,3859
"154",202,7653,5348
"155",203,5507,3003
"156",204,4370,2385
"157",205,3220,2019
"158",206,5619,4275
"159",207,4787,3366
"160",208,4287,3154
"161",209,4108,2856
"162",210,4925,2666
"163",211,8123,4256
"164",212,8926,4678
"165",213,3725,2005
"166",214,2947,1842
"167",215,3068,2184
"168",216,4078,2842
"169",217,2257,1461
"170",218,2271,1651
"171",219,2233,1530
"172",220,2836,2094
"173",221,4053,3013
"174",222,5572,2947
"175",223,6107,3721
"176",224,2480,1516
"177",225,2090,1535
"178",226,3195,2077
"179",227,6043,4156
"180",228,3424,1812
"181",229,9632,6940
"182",230,7914,4476
"183",231,3915,2334
"184",232,4289,3043
"185",233,3932,3116
"186",234,2831,1621
"187",235,2753,1574
"188",236,4488,3112
"189",237,3257,1611
"190",238,2564,1756
"191",239,2910,1784
"192",240,5255,3499
"193",241,7193,5444
"194",242,2822,2189
"195",243,8154,4818
